Product ID,Product Name,Category,Stock Quantity,Supplier,Discount,Rating,Reviews,SKU,Warehouse,Return Policy,Brand,Supplier Contact,Placeholder,Price
1,Product C,Home,83,Supplier Z,17.92011193,2.642116456,66,SKU001,Warehouse B,30 Days,Brand X,9465317820,75,206.023
2,Product A,Electronics,45,Supplier Y,1.03309258,3.015927703,51,SKU001,Warehouse C,15 Days,Brand X,9369407588,68,443.6415784
3,Product C,Home,79,Supplier Z,4.845421734,4.868813823,5,SKU002,Warehouse B,7 Days,Brand Z,9900342830,4,414.6563252
4,Product C,Electronics,80,Supplier Y,14.52516236,3.646445986,9,SKU001,Warehouse A,7 Days,Brand X,9309893449,2,434.6297699
5,Product A,Home,2,Supplier Z,32.98522411,4.619980904,37,SKU001,Warehouse B,30 Days,Brand Y,9173870798,3,589.7056806
6,Product A,Home,93,Supplier Z,4.925753673,1.715034014,76,SKU001,Warehouse C,30 Days,Brand Y,9252943088,62,525.9619877
7,Product C,Electronics,68,Supplier Z,28.03284268,2.932944625,11,SKU002,Warehouse A,30 Days,Brand Z,9602181634,87,158.2793604
8,Product B,Home,50,Supplier X,5.994293541,4.634646679,45,SKU003,Warehouse A,30 Days,Brand X,9469725959,4,74.92328192
9,Product C,Clothing,29,Supplier Y,10.58076637,2.290448246,48,SKU003,Warehouse A,15 Days,Brand X,9814898584,60,732.1212942
10,Product C,Electronics,95,Supplier X,8.609426378,4.870656793,90,SKU002,Warehouse A,15 Days,Brand Z,9431916067,94,564.1202616
11,Product C,Clothing,81,Supplier X,3.361431779,1.388309962,71,SKU003,Warehouse C,30 Days,Brand Z,9795790122,56,365.4107604
12,Product C,Electronics,10,Supplier Z,33.56649087,4.610684681,62,SKU002,Warehouse B,30 Days,Brand X,9228372475,98,810.2742443
13,Product A,Home,27,Supplier Y,23.17017737,2.780848488,68,SKU001,Warehouse A,15 Days,Brand Z,9366096109,41,394.1778895
14,Product C,Home,15,Supplier Y,41.55267204,1.294976661,99,SKU003,Warehouse B,30 Days,Brand Y,9677371860,82,798.0054387
15,Product B,Home,60,Supplier Y,4.944541999,4.51808637,42,SKU002,Warehouse B,7 Days,Brand Z,9944605402,55,312.6985662
16,Product A,Electronics,31,Supplier Y,7.236646667,2.00776085,93,SKU002,Warehouse B,15 Days,Brand Y,9231622856,71,82.11684457
17,Product B,Clothing,21,Supplier X,15.32288657,1.089000502,59,SKU001,Warehouse B,7 Days,Brand Y,9609538441,27,933.3132969
18,Product B,Clothing,60,Supplier X,38.29329935,1.543228422,28,SKU002,Warehouse C,7 Days,Brand Y,9441097754,54,400.605618
19,Product B,Electronics,58,Supplier Y,15.28794116,3.636458968,85,SKU003,Warehouse A,7 Days,Brand X,9937534040,37,794.7656471
20,Product B,Electronics,41,Supplier X,20.42093537,4.911245957,77,SKU001,Warehouse A,7 Days,Brand Y,9729544972,22,286.3526919
21,Product A,Clothing,46,Supplier Y,15.08017831,1.445848558,73,SKU002,Warehouse B,30 Days,Brand Z,9895000370,6,649.901461
22,Product A,Clothing,45,Supplier X,4.01121459,2.847792192,10,SKU001,Warehouse A,30 Days,Brand Y,9555025219,37,874.5777645
23,Product B,Clothing,26,Supplier Z,46.97168114,1.722546204,34,SKU002,Warehouse B,30 Days,Brand X,9257620091,76,51.22758212
24,Product B,Clothing,51,Supplier Z,27.4269496,3.980146136,22,SKU003,Warehouse C,30 Days,Brand X,9397648271,56,832.329407
25,Product A,Electronics,36,Supplier Y,39.39165941,1.472235599,71,SKU003,Warehouse A,15 Days,Brand X,9362281867,84,575.6196749
26,Product A,Electronics,52,Supplier Y,32.91785461,1.959366994,20,SKU001,Warehouse B,30 Days,Brand X,9033368344,36,611.3970364
27,Product A,Home,81,Supplier X,25.71271395,1.785623871,36,SKU002,Warehouse A,15 Days,Brand Z,9506659823,5,527.9264208
28,Product C,Clothing,51,Supplier Y,4.483912833,3.210079121,27,SKU001,Warehouse B,7 Days,Brand X,9174990078,9,875.7303523
29,Product C,Home,3,Supplier Y,32.13667726,4.492736368,94,SKU001,Warehouse A,15 Days,Brand Z,9942506416,26,52.99902366
30,Product C,Electronics,14,Supplier X,7.768517797,3.044360805,57,SKU003,Warehouse C,30 Days,Brand X,9887906703,89,268.4181076
31,Product B,Electronics,49,Supplier Y,20.71915847,1.232973811,52,SKU001,Warehouse A,7 Days,Brand X,9657849190,56,877.0049135
32,Product C,Home,77,Supplier Y,31.45565717,3.253555722,27,SKU002,Warehouse C,7 Days,Brand Z,9590451713,91,754.8222455
33,Product B,Clothing,91,Supplier Z,39.11145002,4.190083997,41,SKU003,Warehouse C,30 Days,Brand Y,9651514490,15,27.46870858
34,Product B,Clothing,1,Supplier Z,34.25225879,1.528624789,90,SKU002,Warehouse B,7 Days,Brand Z,9836003563,58,521.8362204
35,Product C,Clothing,57,Supplier Z,33.57667645,1.290844857,84,SKU001,Warehouse B,7 Days,Brand Y,9977320318,27,534.2769539
36,Product B,Clothing,17,Supplier Y,7.452110459,1.75123111,72,SKU003,Warehouse A,7 Days,Brand Z,9809567820,2,406.8733138
37,Product C,Home,50,Supplier X,17.306427,3.984345291,92,SKU002,Warehouse C,15 Days,Brand Y,9248344653,56,304.4193987
38,Product C,Home,98,Supplier Z,2.145613633,3.366721678,60,SKU002,Warehouse B,7 Days,Brand X,9721842507,64,684.9076019
39,Product A,Electronics,14,Supplier Y,35.97384466,3.162378616,78,SKU001,Warehouse C,7 Days,Brand Y,9353030293,66,215.7125601
40,Product C,Clothing,59,Supplier Z,47.62929907,1.997919579,32,SKU002,Warehouse C,15 Days,Brand Y,9007866324,29,800.9590765
41,Product A,Clothing,81,Supplier X,13.20551951,2.328946381,54,SKU001,Warehouse C,30 Days,Brand X,9703011375,18,805.0067892
42,Product C,Clothing,3,Supplier X,4.384835458,4.863540052,36,SKU001,Warehouse A,15 Days,Brand X,9513907313,96,421.1088232
43,Product C,Home,98,Supplier X,23.77850384,1.962500907,46,SKU001,Warehouse C,15 Days,Brand Y,9820663800,7,290.7125308
44,Product A,Clothing,40,Supplier X,42.83491116,4.606581693,35,SKU001,Warehouse C,30 Days,Brand Y,9938662463,61,291.0393998
45,Product A,Home,89,Supplier X,27.59870976,3.322126018,27,SKU003,Warehouse A,30 Days,Brand Z,9918375362,18,487.4684108
46,Product C,Clothing,66,Supplier X,2.33885751,1.493185865,9,SKU002,Warehouse A,15 Days,Brand X,9818614421,35,722.3834325
47,Product B,Clothing,34,Supplier Y,48.71361203,2.869249513,22,SKU002,Warehouse B,7 Days,Brand X,9755770952,68,365.2800041
48,Product A,Electronics,90,Supplier Z,41.4324955,4.794194869,91,SKU003,Warehouse C,30 Days,Brand X,9871156782,59,613.942912
49,Product B,Clothing,95,Supplier X,6.579703853,2.674262393,97,SKU001,Warehouse C,7 Days,Brand Z,9127581991,33,388.659616
50,Product B,Clothing,9,Supplier Z,46.08988783,4.453546259,4,SKU001,Warehouse A,30 Days,Brand Z,9949059945,54,311.4779573
51,Product B,Electronics,94,Supplier Z,22.53441443,2.025714779,81,SKU001,Warehouse A,7 Days,Brand Y,9498058932,26,34.61092076
52,Product A,Home,84,Supplier Y,18.59489953,3.283688607,5,SKU001,Warehouse B,15 Days,Brand Z,9981698933,38,13.87496468
53,Product B,Home,21,Supplier X,23.05266653,4.375408233,41,SKU003,Warehouse A,15 Days,Brand Z,9331922178,41,234.9356011
54,Product A,Clothing,93,Supplier X,41.72859784,4.682753765,46,SKU002,Warehouse A,15 Days,Brand Z,9839159902,41,412.3422239
55,Product B,Home,25,Supplier Y,32.97398391,2.943293469,86,SKU001,Warehouse A,15 Days,Brand X,9202284132,87,852.7485557
56,Product C,Clothing,44,Supplier Y,2.96242262,3.558752409,27,SKU001,Warehouse A,30 Days,Brand Y,9304385413,47,800.4994005
57,Product C,Electronics,25,Supplier Y,47.88021856,1.011920523,12,SKU001,Warehouse B,15 Days,Brand Z,9377704333,30,274.49361
58,Product A,Electronics,9,Supplier Y,7.389206674,2.01289323,24,SKU002,Warehouse C,7 Days,Brand Z,9919811666,21,252.0950386
59,Product C,Clothing,62,Supplier Y,37.27839759,2.114848415,6,SKU002,Warehouse C,15 Days,Brand Z,9173554617,86,235.0488504
60,Product C,Electronics,26,Supplier Z,31.80682652,1.373972047,65,SKU003,Warehouse C,15 Days,Brand X,9291252305,40,345.8449671
61,Product B,Electronics,57,Supplier Y,9.376402397,2.118780053,79,SKU002,Warehouse C,15 Days,Brand Y,9353730553,23,503.2167324
62,Product A,Clothing,37,Supplier X,8.536603806,2.284488132,57,SKU002,Warehouse C,15 Days,Brand Y,9557994616,39,444.2810943
63,Product B,Clothing,16,Supplier X,43.51637969,4.875064158,65,SKU001,Warehouse A,30 Days,Brand Z,9996146054,31,226.0904668
64,Product B,Electronics,37,Supplier Y,20.98474617,3.674409522,35,SKU002,Warehouse C,30 Days,Brand Y,9872889315,50,139.1468958
65,Product B,Home,76,Supplier Y,32.72882571,2.704020318,1,SKU001,Warehouse A,30 Days,Brand X,9257698204,32,22.45203436
66,Product B,Home,24,Supplier Y,25.20355019,4.952217843,37,SKU003,Warehouse C,7 Days,Brand Z,9187058178,27,162.4236063
67,Product B,Clothing,26,Supplier Y,36.36767585,1.612929281,73,SKU001,Warehouse C,7 Days,Brand Y,9088862732,80,708.3028065
68,Product B,Clothing,20,Supplier Y,23.96211875,2.904204776,13,SKU003,Warehouse A,15 Days,Brand Z,9819024035,89,251.2021837
69,Product B,Home,9,Supplier X,14.36899576,3.588248828,26,SKU002,Warehouse C,7 Days,Brand X,9304353896,81,473.915792
70,Product A,Electronics,87,Supplier Z,18.16916855,1.222322538,14,SKU003,Warehouse A,7 Days,Brand Z,9533734744,78,595.3881374
71,Product C,Home,29,Supplier Y,42.95388472,3.867995432,84,SKU001,Warehouse B,7 Days,Brand X,9539598683,62,887.9724938
72,Product B,Home,31,Supplier Y,23.40173465,1.399469412,11,SKU002,Warehouse B,7 Days,Brand Z,9999870629,21,889.9665474
73,Product B,Home,19,Supplier Y,10.67246661,1.561129234,42,SKU002,Warehouse B,30 Days,Brand Z,9069545034,17,748.2763963
74,Product B,Home,20,Supplier X,46.7302694,1.63875805,96,SKU001,Warehouse C,30 Days,Brand Y,9724916283,84,44.80542213
75,Product B,Clothing,87,Supplier X,39.83002282,4.715559307,56,SKU002,Warehouse C,7 Days,Brand Y,9199284456,82,579.3197149
76,Product B,Clothing,27,Supplier Z,2.783307303,3.732942181,85,SKU001,Warehouse C,7 Days,Brand X,9479746429,1,788.7176361
77,Product B,Electronics,94,Supplier Z,49.9471481,3.621710004,47,SKU003,Warehouse C,30 Days,Brand X,9286555208,93,27.11516432
78,Product C,Electronics,85,Supplier Z,34.74633482,3.221973986,60,SKU003,Warehouse A,15 Days,Brand X,9583744277,88,554.1877675
79,Product C,Electronics,44,Supplier Z,8.013329952,2.171223995,81,SKU002,Warehouse B,30 Days,Brand Y,9112026260,25,859.1865043
80,Product B,Electronics,35,Supplier X,11.85838406,3.483558818,43,SKU001,Warehouse A,7 Days,Brand Z,9484856954,38,479.3610551
81,Product C,Home,71,Supplier Z,34.62227406,2.64059888,51,SKU001,Warehouse B,7 Days,Brand X,9936923602,16,14.06514087
82,Product A,Clothing,22,Supplier Y,38.98805276,1.5816646,61,SKU003,Warehouse B,7 Days,Brand Z,9037625120,15,20.90322475
83,Product B,Clothing,74,Supplier X,11.95179716,3.758389161,1,SKU001,Warehouse A,30 Days,Brand Z,9653582851,26,422.469677
84,Product A,Electronics,87,Supplier X,12.84844269,1.518328672,92,SKU002,Warehouse A,7 Days,Brand Y,9512555488,48,163.4585807
85,Product A,Electronics,15,Supplier X,15.35603474,1.762674324,70,SKU002,Warehouse A,30 Days,Brand Y,9764025068,2,667.8061505
